,Oil_Price,year,price_diff,value,Natural_Gas_Value,Oil_Price_Diff,Natural_Gas_Rolling
60,108.16,2014.0,-1.2000000000000028,9.9055,9.9055,-1.628012733060491,10.172166666666667
61,108.98,2014.0,0.4399999999999977,10.3945,10.3945,0.7581360946745663,10.081333333333331
62,105.95,2014.0,-0.6899999999999977,10.9445,10.9445,-2.7803266654432,10.414833333333334
63,108.63,2014.0,-1.2600000000000051,11.4115,11.4115,2.529495044832464,10.916833333333336
64,108.63,2014.0,-1.2600000000000051,12.6865,12.6865,0.0,11.680833333333334
65,111.03,2014.0,-1.5900000000000034,14.6405,14.6405,2.209334438000554,12.912833333333332
66,104.94,2014.0,-1.5300000000000011,15.5995,15.5995,-5.485004052958664,14.308833333333332
67,104.94,2014.0,-1.5300000000000011,15.395500000000002,15.395500000000002,0.0,15.211833333333333
68,94.67,2014.0,-1.0300000000000011,14.854500000000002,14.854500000000002,-9.786544692205068,15.283166666666668
69,84.17,2014.0,-1.3299999999999983,13.1015,13.1015,-11.091158762015418,14.450500000000003
70,84.17,2014.0,-1.3299999999999983,10.6045,10.6045,0.0,12.853500000000002
71,55.27,2014.0,-0.3299999999999983,10.233,10.233,-34.335273850540574,11.313
72,55.27,2014.0,-0.3299999999999983,9.813,9.813,0.0,10.216833333333332
73,55.27,2014.0,-0.3299999999999983,9.319,9.319,0.0,9.788333333333332
74,53.69,2015.0,-0.3000000000000042,9.511,9.511,-2.8586936855437006,9.547666666666666
75,63.9,2015.0,-0.0700000000000002,10.1515,10.1515,19.01657664369529,9.6605
76,63.9,2015.0,-0.0700000000000002,11.972,11.972,0.0,10.544833333333331
77,60.31,2015.0,1.2800000000000011,13.576,13.576,-5.618153364632228,11.899833333333332
78,53.29,2015.0,-1.0,14.1575,14.1575,-11.639860719615324,13.235166666666666
79,53.29,2015.0,-1.0,14.356,14.356,0.0,14.029833333333334
80,47.29,2015.0,-0.2899999999999991,14.25,14.25,-11.259148057796963,14.254499999999998
81,47.29,2015.0,-0.2899999999999991,11.7435,11.7435,0.0,13.449833333333332
82,43.73,2015.0,0.6599999999999966,10.3295,10.3295,-7.528018608585329,12.107666666666669
83,36.61,2015.0,0.9600000000000009,9.722,9.722,-16.28172879030414,10.598333333333334
84,36.61,2015.0,0.9600000000000009,8.483500000000001,8.483500000000001,0.0,9.511666666666668
85,35.92,2016.0,0.1600000000000037,8.33,8.33,-1.8847309478284613,8.845166666666666
86,36.75,2016.0,0.0,9.0665,9.0665,2.310690423162587,8.626666666666667
87,36.75,2016.0,0.0,9.4135,9.4135,0.0,8.936666666666666
88,49.26,2016.0,0.1699999999999946,10.5015,10.5015,34.0408163265306,9.6605
89,48.05,2016.0,-0.3500000000000014,12.6325,12.6325,-2.456354039788877,10.849166666666669
90,48.05,2016.0,-0.3500000000000014,14.2815,14.2815,0.0,12.471833333333334
91,47.94,2016.0,0.0,14.904,14.904,-0.2289281997918779,13.939333333333332
92,48.24,2016.0,-0.1899999999999977,14.572,14.572,0.6257822277847325,14.585833333333332
93,46.2,2016.0,-1.5799999999999983,12.488,12.488,-4.228855721393032,13.988
94,47.95,2016.0,3.270000000000003,10.638,10.638,3.787878787878785,12.566
95,47.95,2016.0,3.270000000000003,9.266,9.266,0.0,10.797333333333333
96,55.25,2017.0,0.4799999999999969,9.368,9.368,15.224191866527637,9.757333333333332
97,53.36,2017.0,-1.2899999999999991,9.981,9.981,-3.4208144796380124,9.538333333333332
98,52.2,2017.0,-0.0499999999999971,9.8,9.8,-2.1739130434782594,9.716333333333331
99,52.2,2017.0,-0.0499999999999971,10.867,10.867,0.0,10.216
100,49.4,2017.0,-1.25,12.7255,12.7255,-5.363984674329513,11.130833333333332
101,47.08,2017.0,0.0599999999999951,14.3425,14.3425,-4.696356275303648,12.645
102,51.99,2017.0,-0.009999999999998,15.3055,15.3055,10.429056924384028,14.1245
103,52.69,2017.0,0.7800000000000011,15.7255,15.7255,1.3464127716868557,15.1245
104,52.69,2017.0,0.7800000000000011,14.6555,14.6555,0.0,15.228833333333334
105,61.35,2017.0,0.7000000000000028,13.3565,13.3565,16.435756310495364,14.579166666666666
106,63.53,2017.0,-0.2100000000000008,10.521,10.521,3.553382233088831,12.844333333333331
107,63.53,2017.0,-0.2100000000000008,9.542,9.542,0.0,11.139833333333334
108,67.78,2018.0,0.0,9.1475,9.1475,6.689752872658583,9.736833333333331
109,66.08,2018.0,-1.5100000000000051,9.993,9.993,-2.508114488049573,9.560833333333331
110,66.08,2018.0,-1.5100000000000051,9.585,9.585,0.0,9.575166666666666
111,75.92,2018.0,0.5900000000000034,9.7425,9.7425,14.891041162227614,9.7735
112,76.45,2018.0,0.5600000000000023,11.946,11.946,0.6981032665964282,10.4245
113,76.45,2018.0,0.5600000000000023,14.149,14.149,0.0,11.945833333333333
